date,year,month,price,volume
1/1/17,2017,Jan,970.4,5.14
2/1/17,2017,Feb,1179.97,4.28
3/1/17,2017,Mar,1071.79,10.87
4/1/17,2017,Apr,1347.89,9.76
5/1/17,2017,May,2286.41,34.26
6/1/17,2017,Jun,2480.84,44.48
7/1/17,2017,Jul,2875.34,32.62
8/1/17,2017,Aug,4703.39,63.55
9/1/17,2017,Sep,4338.71,55.7
10/1/17,2017,Oct,6468.4,58.01
11/1/17,2017,Nov,10233.6,140.74
12/1/17,2017,Dec,14156.4,410.34
1/1/18,2018,Jan,10221.1,416.25
2/1/18,2018,Feb,10397.9,229.72
3/1/18,2018,Mar,6973.53,193.75
4/1/18,2018,Apr,9240.55,196.55
5/1/18,2018,May,7494.17,197.61
6/1/18,2018,Jun,6404,130.21
7/1/18,2018,Jul,7780.44,141.44
8/1/18,2018,Aug,7037.58,132.29
9/1/18,2018,Sep,6625.56,129.75
10/1/18,2018,Oct,6317.61,118.44
11/1/18,2018,Nov,4017.27,158.36
12/1/18,2018,Dec,3742.7,168.83
1/1/19,2019,Jan,3457.79,167.34
2/1/19,2019,Feb,3854.79,199.1
3/1/19,2019,Mar,4105.4,297.95
4/1/19,2019,Apr,5350.73,445.36
5/1/19,2019,May,8574.5,724.16
6/1/19,2019,Jun,10817.16,675.86
7/1/19,2019,Jul,10085.63,676.42
8/1/19,2019,Aug,9630.66,533.98
9/1/19,2019,Sep,8293.87,480.54
10/1/19,2019,Oct,9199.58,595.21
11/1/19,2019,Nov,7569.63,676.92
12/1/19,2019,Dec,7193.6,633.79
1/1/20,2020,Jan,9350.53,852.87
2/1/20,2020,Feb,8599.51,1163.38
3/1/20,2020,Mar,6438.64,1290.44
4/1/20,2020,Apr,8658.55,1156.13
5/1/20,2020,May,9461.06,1286.37
6/1/20,2020,Jun,9137.99,650.91
7/1/20,2020,Jul,11323.47,545.81
8/1/20,2020,Aug,11680.82,708.38
9/1/20,2020,Sep,10784.49,1075.95
10/1/20,2020,Oct,13781,1050.87
11/1/20,2020,Nov,19625.84,1093.14
12/1/20,2020,Dec,29001.72,1212.26
1/1/21,2021,Jan,33114.36,2153.47
2/1/21,2021,Feb,45137.77,2267.15
3/1/21,2021,Mar,58918.83,1681.18
4/1/21,2021,Apr,57750.18,1844.48
5/1/21,2021,May,37332.86,1976.59
6/1/21,2021,Jun,35040.84,1189.65
7/1/21,2021,Jul,41626.2,819.1
8/1/21,2021,Aug,47166.69,1014.67
9/1/21,2021,Sep,43790.89,1102.14
10/1/21,2021,Oct,61318.96,1153.08
11/1/21,2021,Nov,57005.43,1053.27
12/1/21,2021,Dec,46306.45,957.05
1/1/22,2022,Jan,38483.13,923.98
2/1/22,2022,Feb,43193.23,671.34
3/1/22,2022,Mar,45538.68,830.94
4/1/22,2022,Apr,37714.88,830.12
5/1/22,2022,May,31792.31,1105.69
6/1/22,2022,Jun,19784.73,923.94
7/1/22,2022,Jul,21731.12,875.88
